EmployeeID,Employee Name,Period End Date,Pay Frequency,Location,Number of,Description,Hours,Amount
6/12/1982,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Normal Hours,23,351.87
6/12/1982,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Gross Taxable Total,0,351.87
6/12/1982,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Tax (Incl Adjust),0,0
6/12/1982,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Net Pay,0,351.87
13/12/1982,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Normal Hours,46,703.74
13/12/1982,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Gross Taxable Total,0,703.74
13/12/1982,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Tax (Incl Adjust),0,-80
13/12/1982,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Net Pay,0,623.74
13/12/1982,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Superannuation,0,66.86
20/12/1982,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Normal Hours,37.5,573.7
20/12/1982,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Gross Taxable Total,0,573.7
20/12/1982,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Tax (Incl Adjust),0,-53
20/12/1982,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Net Pay,0,520.7
20/12/1982,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Superannuation,0,54.5
20/12/1982,1W01 - Weekly,ACME Payroll (Registered to AMALGAMATED CO. PTY. LTD.),,,,Employee Previous Earnings,,
20/12/1982,1W01 - Weekly,ACME Payroll (Registered to AMALGAMATED CO. PTY. LTD.),,,,AMALGAMATED WIDGETS PTY LTD,,
16/04/1985,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Normal Hours,46,1003.22
16/04/1985,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Gross Taxable Total,0,1003.22
16/04/1985,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Tax (Incl Adjust),0,-85
16/04/1985,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Net Pay,0,918.22
16/04/1985,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Superannuation,0,95.3
23/04/1985,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Normal Hours,19.5,425.27
23/04/1985,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Gross Taxable Total,0,425.27
23/04/1985,1W01 - Weekly,For Pay End Periods between 1/07/1982 and 25/06/1985,,,,Tax (Incl Adjust),0,-14
