EmployeeID,Employee Name,Period End Date,Pay Frequency,Location,Number of,Description,Hours,Amount
,,"[2,0]",,,,,,"[2,11]"
,,"[3,0]",,,,,,
"[4,0]","[4,1]","[5,0]",,,,,,
"[8,0]","[8,1]","[5,0]",,,,"[9,5]","[9,10]","[9,11]"
"[8,0]","[8,1]","[5,0]",,,,"[10,5]","[10,10]","[10,11]"
"[8,0]","[8,1]","[5,0]",,,,"[11,5]","[11,10]","[11,11]"
"[8,0]","[8,1]","[5,0]",,,,"[12,5]","[12,10]","[12,11]"
"[13,0]","[13,1]","[5,0]",,,,"[14,5]","[14,10]","[14,11]"
"[13,0]","[13,1]","[5,0]",,,,"[15,5]","[15,10]","[15,11]"
"[13,0]","[13,1]","[5,0]",,,,"[16,5]","[16,10]","[16,11]"
"[13,0]","[13,1]","[5,0]",,,,"[17,5]","[17,10]","[17,11]"
"[13,0]","[13,1]","[5,0]",,,,"[18,5]","[18,10]","[18,11]"
"[19,0]","[19,1]","[5,0]",,,,"[20,5]","[20,10]","[20,11]"
"[19,0]","[19,1]","[5,0]",,,,"[21,5]","[21,10]","[21,11]"
"[19,0]","[19,1]","[5,0]",,,,"[22,5]","[22,10]","[22,11]"
"[19,0]","[19,1]","[5,0]",,,,"[23,5]","[23,10]","[23,11]"
"[19,0]","[19,1]","[5,0]",,,,"[24,5]","[24,10]","[24,11]"
"[19,0]","[19,1]","[25,0]",,,,,,
"[19,0]","[19,1]","[25,0]",,,,"[26,5]",,
"[19,0]","[19,1]","[25,0]",,,,"[27,5]",,
"[19,0]","[19,1]","[28,0]",,,,,,"[28,11]"
"[19,0]","[19,1]","[29,0]",,,,,,
"[30,0]","[30,1]","[31,0]",,,,,,
"[34,0]","[34,1]","[31,0]",,,,"[35,5]","[35,10]","[35,11]"
"[34,0]","[34,1]","[31,0]",,,,"[36,5]","[36,10]","[36,11]"
"[34,0]","[34,1]","[31,0]",,,,"[37,5]","[37,10]","[37,11]"
"[34,0]","[34,1]","[31,0]",,,,"[38,5]","[38,10]","[38,11]"
"[34,0]","[34,1]","[31,0]",,,,"[39,5]","[39,10]","[39,11]"
"[40,0]","[40,1]","[31,0]",,,,"[41,5]","[41,10]","[41,11]"
"[40,0]","[40,1]","[31,0]",,,,"[42,5]","[42,10]","[42,11]"
"[40,0]","[40,1]","[31,0]",,,,"[43,5]","[43,10]","[43,11]"
"[40,0]","[40,1]","[31,0]",,,,"[44,5]","[44,10]","[44,11]"
"[40,0]","[40,1]","[31,0]",,,,"[45,5]","[45,10]","[45,11]"
"[46,0]","[46,1]","[31,0]",,,,"[47,5]","[47,10]","[47,11]"
"[46,0]","[46,1]","[31,0]",,,,"[48,5]","[48,10]","[48,11]"
"[46,0]","[46,1]","[31,0]",,,,"[49,5]","[49,10]","[49,11]"
"[46,0]","[46,1]","[31,0]",,,,"[50,5]","[50,10]","[50,11]"
"[46,0]","[46,1]","[31,0]",,,,"[51,5]","[51,10]","[51,11]"
"[46,0]","[46,1]","[31,0]",,,,"[52,5]","[52,10]","[52,11]"
"[46,0]","[46,1]","[53,0]",,,,,,
"[46,0]","[46,1]","[53,0]",,,,"[54,5]",,
"[46,0]","[46,1]","[53,0]",,,,"[55,5]",,
"[46,0]","[46,1]","[56,0]",,,,,,"[56,11]"
"[46,0]","[46,1]","[57,0]",,,,,,
"[58,0]","[58,1]","[59,0]",,,,,,
"[62,0]","[62,1]","[59,0]",,,,"[63,5]","[63,10]","[63,11]"
"[62,0]","[62,1]","[59,0]",,,,"[64,5]","[64,10]","[64,11]"
"[62,0]","[62,1]","[59,0]",,,,"[65,5]","[65,10]","[65,11]"
"[62,0]","[62,1]","[59,0]",,,,"[66,5]","[66,10]","[66,11]"
"[62,0]","[62,1]","[59,0]",,,,"[67,5]","[67,10]","[67,11]"
"[68,0]","[68,1]","[59,0]",,,,"[69,5]","[69,10]","[69,11]"
"[68,0]","[68,1]","[59,0]",,,,"[70,5]","[70,10]","[70,11]"
"[68,0]","[68,1]","[59,0]",,,,"[71,5]","[71,10]","[71,11]"
"[68,0]","[68,1]","[59,0]",,,,"[72,5]","[72,10]","[72,11]"
"[68,0]","[68,1]","[59,0]",,,,"[73,5]","[73,10]","[73,11]"
"[74,0]","[74,1]","[59,0]",,,,"[75,5]","[75,10]","[75,11]"
"[74,0]","[74,1]","[59,0]",,,,"[76,5]","[76,10]","[76,11]"
"[74,0]","[74,1]","[59,0]",,,,"[77,5]","[77,10]","[77,11]"
"[74,0]","[74,1]","[59,0]",,,,"[78,5]","[78,10]","[78,11]"
"[74,0]","[74,1]","[59,0]",,,,"[79,5]","[79,10]","[79,11]"
"[74,0]","[74,1]","[80,0]",,,,,,
"[74,0]","[74,1]","[80,0]",,,,"[81,5]",,
"[74,0]","[74,1]","[80,0]",,,,"[82,5]",,
"[74,0]","[74,1]","[83,0]",,,,,,"[83,11]"
"[74,0]","[74,1]","[84,0]",,,,,,
"[85,0]","[85,1]","[86,0]",,,,,,
"[89,0]","[89,1]","[86,0]",,,,"[90,5]","[90,10]","[90,11]"
"[89,0]","[89,1]","[86,0]",,,,"[91,5]","[91,10]","[91,11]"
"[89,0]","[89,1]","[86,0]",,,,"[92,5]","[92,10]","[92,11]"
"[89,0]","[89,1]","[86,0]",,,,"[93,5]","[93,10]","[93,11]"
"[89,0]","[89,1]","[86,0]",,,,"[94,5]","[94,10]","[94,11]"
"[89,0]","[89,1]","[86,0]",,,,"[95,5]","[95,10]","[95,11]"
"[96,0]","[96,1]","[86,0]",,,,"[97,5]","[97,10]","[97,11]"
"[96,0]","[96,1]","[86,0]",,,,"[98,5]","[98,10]","[98,11]"
"[96,0]","[96,1]","[86,0]",,,,"[99,5]","[99,10]","[99,11]"
"[96,0]","[96,1]","[86,0]",,,,"[100,5]","[100,10]","[100,11]"
"[96,0]","[96,1]","[86,0]",,,,"[101,5]","[101,10]","[101,11]"
"[96,0]","[96,1]","[86,0]",,,,"[102,5]","[102,10]","[102,11]"
"[96,0]","[96,1]","[86,0]",,,,"[103,5]","[103,10]","[103,11]"
"[104,0]","[104,1]","[86,0]",,,,"[105,5]","[105,10]","[105,11]"
"[104,0]","[104,1]","[86,0]",,,,"[106,5]","[106,10]","[106,11]"
"[104,0]","[104,1]","[86,0]",,,,"[107,5]","[107,10]","[107,11]"
"[104,0]","[104,1]","[86,0]",,,,"[108,5]","[108,10]","[108,11]"
"[104,0]","[104,1]","[86,0]",,,,"[109,5]","[109,10]","[109,11]"
"[104,0]","[104,1]","[86,0]",,,,"[110,5]","[110,10]","[110,11]"
"[104,0]","[104,1]","[111,0]",,,,,,
"[104,0]","[104,1]","[111,0]",,,,"[112,5]",,
"[104,0]","[104,1]","[111,0]",,,,"[113,5]",,
"[104,0]","[104,1]","[114,0]",,,,,,"[114,11]"
"[104,0]","[104,1]","[115,0]",,,,,,
"[116,0]","[116,1]","[117,0]",,,,,,
"[120,0]","[120,1]","[117,0]",,,,"[121,5]","[121,10]","[121,11]"
"[120,0]","[120,1]","[117,0]",,,,"[122,5]","[122,10]","[122,11]"
"[120,0]","[120,1]","[117,0]",,,,"[123,5]","[123,10]","[123,11]"
"[120,0]","[120,1]","[117,0]",,,,"[124,5]","[124,10]","[124,11]"
"[125,0]","[125,1]","[117,0]",,,,"[126,5]","[126,10]","[126,11]"
"[125,0]","[125,1]","[117,0]",,,,"[127,5]","[127,10]","[127,11]"
"[125,0]","[125,1]","[117,0]",,,,"[128,5]","[128,10]","[128,11]"
"[125,0]","[125,1]","[117,0]",,,,"[129,5]","[129,10]","[129,11]"
"[125,0]","[125,1]","[117,0]",,,,"[130,5]","[130,10]","[130,11]"
"[131,0]","[131,1]","[117,0]",,,,"[132,5]","[132,10]","[132,11]"
"[131,0]","[131,1]","[117,0]",,,,"[133,5]","[133,10]","[133,11]"
"[131,0]","[131,1]","[117,0]",,,,"[134,5]","[134,10]","[134,11]"
"[131,0]","[131,1]","[117,0]",,,,"[135,5]","[135,10]","[135,11]"
"[131,0]","[131,1]","[117,0]",,,,"[136,5]","[136,10]","[136,11]"
"[137,0]","[137,1]","[117,0]",,,,"[138,5]","[138,10]","[138,11]"
"[137,0]","[137,1]","[117,0]",,,,"[139,5]","[139,10]","[139,11]"
"[137,0]","[137,1]","[117,0]",,,,"[140,5]","[140,10]","[140,11]"
"[137,0]","[137,1]","[141,0]",,,,,,
"[137,0]","[137,1]","[141,0]",,,,"[142,5]",,
"[137,0]","[137,1]","[141,0]",,,,"[143,5]",,
"[137,0]","[137,1]","[144,0]",,,,,,"[144,11]"
"[137,0]","[137,1]","[145,0]",,,,,,
"[146,0]","[146,1]","[147,0]",,,,,,
"[150,0]","[150,1]","[147,0]",,,,"[151,5]","[151,10]","[151,11]"
"[150,0]","[150,1]","[147,0]",,,,"[152,5]","[152,10]","[152,11]"
"[150,0]","[150,1]","[147,0]",,,,"[153,5]","[153,10]","[153,11]"
"[150,0]","[150,1]","[147,0]",,,,"[154,5]","[154,10]","[154,11]"
"[150,0]","[150,1]","[147,0]",,,,"[155,5]","[155,10]","[155,11]"
"[150,0]","[150,1]","[147,0]",,,,"[156,5]","[156,10]","[156,11]"
"[157,0]","[157,1]","[147,0]",,,,"[158,5]","[158,10]","[158,11]"
"[157,0]","[157,1]","[147,0]",,,,"[159,5]","[159,10]","[159,11]"
"[157,0]","[157,1]","[147,0]",,,,"[160,5]","[160,10]","[160,11]"
"[157,0]","[157,1]","[147,0]",,,,"[161,5]","[161,10]","[161,11]"
"[157,0]","[157,1]","[147,0]",,,,"[162,5]","[162,10]","[162,11]"
"[157,0]","[157,1]","[147,0]",,,,"[163,5]","[163,10]","[163,11]"
"[157,0]","[157,1]","[147,0]",,,,"[164,5]","[164,10]","[164,11]"
"[157,0]","[157,1]","[165,0]",,,,,,
"[157,0]","[157,1]","[165,0]",,,,"[166,5]",,
"[157,0]","[157,1]","[165,0]",,,,"[167,5]",,
"[157,0]","[157,1]","[168,0]",,,,,,"[168,11]"
"[157,0]","[157,1]","[169,0]",,,,,,
"[170,0]","[170,1]","[171,0]",,,,,,
"[174,0]","[174,1]","[171,0]",,,,"[175,5]","[175,10]","[175,11]"
"[174,0]","[174,1]","[171,0]",,,,"[176,5]","[176,10]","[176,11]"
"[174,0]","[174,1]","[171,0]",,,,"[177,5]","[177,10]","[177,11]"
"[174,0]","[174,1]","[171,0]",,,,"[178,5]","[178,10]","[178,11]"
"[174,0]","[174,1]","[171,0]",,,,"[179,5]","[179,10]","[179,11]"
"[174,0]","[174,1]","[171,0]",,,,"[180,5]","[180,10]","[180,11]"
"[181,0]","[181,1]","[171,0]",,,,"[182,5]","[182,10]","[182,11]"
"[181,0]","[181,1]","[171,0]",,,,"[183,5]","[183,10]","[183,11]"
"[181,0]","[181,1]","[171,0]",,,,"[184,5]","[184,10]","[184,11]"
"[181,0]","[181,1]","[171,0]",,,,"[185,5]","[185,10]","[185,11]"
"[181,0]","[181,1]","[171,0]",,,,"[186,5]","[186,10]","[186,11]"
"[187,0]","[187,1]","[171,0]",,,,"[188,5]","[188,10]","[188,11]"
"[187,0]","[187,1]","[171,0]",,,,"[189,5]","[189,10]","[189,11]"
"[187,0]","[187,1]","[171,0]",,,,"[190,5]","[190,10]","[190,11]"
"[187,0]","[187,1]","[171,0]",,,,"[191,5]","[191,10]","[191,11]"
"[187,0]","[187,1]","[171,0]",,,,"[192,5]","[192,10]","[192,11]"
"[187,0]","[187,1]","[193,0]",,,,,,
"[187,0]","[187,1]","[193,0]",,,,"[194,5]",,
"[187,0]","[187,1]","[193,0]",,,,"[195,5]",,
"[187,0]","[187,1]","[196,0]",,,,,,"[196,11]"
"[187,0]","[187,1]","[197,0]",,,,,,
"[198,0]","[198,1]","[199,0]",,,,,,
"[202,0]","[202,1]","[199,0]",,,,"[203,5]","[203,10]","[203,11]"
"[202,0]","[202,1]","[199,0]",,,,"[204,5]","[204,10]","[204,11]"
"[202,0]","[202,1]","[199,0]",,,,"[205,5]","[205,10]","[205,11]"
"[202,0]","[202,1]","[199,0]",,,,"[206,5]","[206,10]","[206,11]"
"[202,0]","[202,1]","[199,0]",,,,"[207,5]","[207,10]","[207,11]"
"[202,0]","[202,1]","[199,0]",,,,"[208,5]","[208,10]","[208,11]"
"[202,0]","[202,1]","[199,0]",,,,"[209,5]","[209,10]","[209,11]"
"[210,0]","[210,1]","[199,0]",,,,"[211,5]","[211,10]","[211,11]"
"[210,0]","[210,1]","[199,0]",,,,"[212,5]","[212,10]","[212,11]"
"[210,0]","[210,1]","[199,0]",,,,"[213,5]","[213,10]","[213,11]"
"[210,0]","[210,1]","[199,0]",,,,"[214,5]","[214,10]","[214,11]"
"[210,0]","[210,1]","[199,0]",,,,"[215,5]","[215,10]","[215,11]"
"[210,0]","[210,1]","[199,0]",,,,"[216,5]","[216,10]","[216,11]"
"[210,0]","[210,1]","[199,0]",,,,"[217,5]","[217,10]","[217,11]"
"[218,0]","[218,1]","[199,0]",,,,"[219,5]","[219,10]","[219,11]"
"[218,0]","[218,1]","[199,0]",,,,"[220,5]","[220,10]","[220,11]"
"[218,0]","[218,1]","[199,0]",,,,"[221,5]","[221,10]","[221,11]"
"[218,0]","[218,1]","[199,0]",,,,"[222,5]","[222,10]","[222,11]"
"[218,0]","[218,1]","[199,0]",,,,"[223,5]","[223,10]","[223,11]"
"[218,0]","[218,1]","[224,0]",,,,,,
"[218,0]","[218,1]","[224,0]",,,,"[225,5]",,
"[218,0]","[218,1]","[224,0]",,,,"[226,5]",,
"[218,0]","[218,1]","[227,0]",,,,,,"[227,11]"
"[218,0]","[218,1]","[228,0]",,,,,,
"[229,0]","[229,1]","[230,0]",,,,,,
"[233,0]","[233,1]","[230,0]",,,,"[234,5]","[234,10]","[234,11]"
"[233,0]","[233,1]","[230,0]",,,,"[235,5]","[235,10]","[235,11]"
"[233,0]","[233,1]","[230,0]",,,,"[236,5]","[236,10]","[236,11]"
"[233,0]","[233,1]","[230,0]",,,,"[237,5]","[237,10]","[237,11]"
"[238,0]","[238,1]","[230,0]",,,,"[239,5]","[239,10]","[239,11]"
"[238,0]","[238,1]","[230,0]",,,,"[240,5]","[240,10]","[240,11]"
"[238,0]","[238,1]","[230,0]",,,,"[241,5]","[241,10]","[241,11]"
"[238,0]","[238,1]","[230,0]",,,,"[242,5]","[242,10]","[242,11]"
"[243,0]","[243,1]","[230,0]",,,,"[244,5]","[244,10]","[244,11]"
"[243,0]","[243,1]","[230,0]",,,,"[245,5]","[245,10]","[245,11]"
"[243,0]","[243,1]","[230,0]",,,,"[246,5]","[246,10]","[246,11]"
"[243,0]","[243,1]","[230,0]",,,,"[247,5]","[247,10]","[247,11]"
"[248,0]","[248,1]","[230,0]",,,,"[249,5]","[249,10]","[249,11]"
"[248,0]","[248,1]","[230,0]",,,,"[250,5]","[250,10]","[250,11]"
"[248,0]","[248,1]","[230,0]",,,,"[251,5]","[251,10]","[251,11]"
"[248,0]","[248,1]","[230,0]",,,,"[252,5]","[252,10]","[252,11]"
"[248,0]","[248,1]","[253,0]",,,,,,
"[248,0]","[248,1]","[253,0]",,,,"[254,5]",,
"[248,0]","[248,1]","[253,0]",,,,"[255,5]",,
"[248,0]","[248,1]","[256,0]",,,,,,"[256,11]"
"[248,0]","[248,1]","[257,0]",,,,,,
"[258,0]","[258,1]","[259,0]",,,,,,
