EmployeeID,Employee Name,Period End Date,Pay Frequency,Location,Number of,Description,Hours,Amount
"[4,0]","[4,1]","[7,0]","[7,1]","[7,3]",,"[7,5]","[7,10]","[7,11]"
"[4,0]","[4,1]","[8,0]","[8,1]","[8,3]","[8,4]",,,
"[4,0]","[4,1]","[8,0]","[8,1]","[8,3]","[8,4]","[9,5]","[9,10]","[9,11]"
"[4,0]","[4,1]","[8,0]","[8,1]","[8,3]","[8,4]","[10,5]","[10,10]","[9,11]"
"[4,0]","[4,1]","[8,0]","[8,1]","[8,3]","[8,4]","[11,5]","[10,10]","[10,10]"
"[4,0]","[4,1]","[8,0]","[8,1]","[8,3]","[8,4]","[12,5]","[10,10]","[9,11]"
"[4,0]","[4,1]","[13,0]","[8,1]","[8,3]","[8,4]",,,
"[4,0]","[4,1]","[13,0]","[8,1]","[8,3]","[8,4]","[9,5]","[14,10]","[14,11]"
"[4,0]","[4,1]","[13,0]","[8,1]","[8,3]","[8,4]","[10,5]","[10,10]","[14,11]"
"[4,0]","[4,1]","[13,0]","[8,1]","[8,3]","[8,4]","[11,5]","[10,10]","[16,11]"
"[4,0]","[4,1]","[13,0]","[8,1]","[8,3]","[8,4]","[12,5]","[10,10]","[17,11]"
"[4,0]","[4,1]","[13,0]","[8,1]","[8,3]","[8,4]","[18,5]","[10,10]","[18,11]"
"[4,0]","[4,1]","[19,0]","[8,1]","[8,3]","[8,4]",,,
"[4,0]","[4,1]","[19,0]","[8,1]","[8,3]","[8,4]","[9,5]","[20,10]","[20,11]"
"[4,0]","[4,1]","[19,0]","[8,1]","[8,3]","[8,4]","[10,5]","[10,10]","[20,11]"
"[4,0]","[4,1]","[19,0]","[8,1]","[8,3]","[8,4]","[11,5]","[10,10]","[22,11]"
"[4,0]","[4,1]","[19,0]","[8,1]","[8,3]","[8,4]","[12,5]","[10,10]","[23,11]"
"[4,0]","[4,1]","[19,0]","[13,1]","[13,3]","[13,4]","[18,5]","[11,10]","[24,11]"
"[4,0]","[4,1]","[19,0]","[8,1]","[8,3]","[8,4]","[2,0]",,
"[4,0]","[4,1]","[19,0]","[8,1]","[8,3]","[8,4]","[1,5]",,
"[30,0]","[30,1]","[33,0]","[33,1]","[33,3]",,"[33,5]","[33,10]","[33,11]"
"[30,0]","[30,1]","[34,0]","[34,1]","[34,3]","[34,4]",,,
"[30,0]","[30,1]","[34,0]","[34,1]","[34,3]","[34,4]","[35,5]","[35,10]","[35,11]"
"[30,0]","[30,1]","[34,0]","[34,1]","[34,3]","[34,4]","[36,5]","[36,10]","[35,11]"
"[30,0]","[30,1]","[34,0]","[34,1]","[34,3]","[34,4]","[37,5]","[36,10]","[37,11]"
"[30,0]","[30,1]","[34,0]","[34,1]","[34,3]","[34,4]","[38,5]","[36,10]","[38,11]"
"[30,0]","[30,1]","[34,0]","[34,1]","[34,3]","[34,4]","[39,5]","[36,10]","[39,11]"
"[30,0]","[30,1]","[40,0]","[34,1]","[34,3]","[40,4]",,,
"[30,0]","[30,1]","[40,0]","[34,1]","[34,3]","[40,4]","[35,5]","[41,10]","[41,11]"
"[30,0]","[30,1]","[40,0]","[34,1]","[34,3]","[40,4]","[36,5]","[36,10]","[41,11]"
"[30,0]","[30,1]","[40,0]","[34,1]","[34,3]","[40,4]","[37,5]","[36,10]","[43,11]"
"[30,0]","[30,1]","[40,0]","[34,1]","[34,3]","[40,4]","[38,5]","[36,10]","[44,11]"
"[30,0]","[30,1]","[40,0]","[34,1]","[34,3]","[40,4]","[39,5]","[36,10]","[45,11]"
"[30,0]","[30,1]","[46,0]","[34,1]","[34,3]","[40,4]",,,
"[30,0]","[30,1]","[46,0]","[40,1]","[40,3]","[40,4]","[41,5]","[47,10]","[47,11]"
"[30,0]","[30,1]","[46,0]","[40,1]","[40,3]","[40,4]","[48,5]","[48,10]","[48,11]"
"[30,0]","[30,1]","[46,0]","[40,1]","[40,3]","[40,4]","[36,5]","[39,10]","[49,11]"
"[30,0]","[30,1]","[46,0]","[34,1]","[34,3]","[40,4]","[37,5]","[36,10]","[50,11]"
"[30,0]","[30,1]","[46,0]","[40,1]","[40,3]","[40,4]","[38,5]","[39,10]","[51,11]"
"[30,0]","[30,1]","[46,0]","[40,1]","[40,3]","[40,4]","[39,5]","[39,10]","[52,11]"
"[30,0]","[30,1]","[46,0]","[34,1]","[34,3]","[40,4]","[28,0]",,
"[30,0]","[30,1]","[46,0]","[34,1]","[34,3]","[40,4]","[27,5]",,
"[58,0]","[58,1]","[61,0]","[61,1]","[61,3]",,"[61,5]","[61,10]","[61,11]"
"[58,0]","[58,1]","[62,0]","[62,1]","[62,3]","[62,4]",,,
"[58,0]","[58,1]","[62,0]","[62,1]","[62,3]","[62,4]","[63,5]","[63,10]","[63,11]"
"[58,0]","[58,1]","[62,0]","[62,1]","[62,3]","[62,4]","[64,5]","[52,10]","[63,11]"
"[58,0]","[58,1]","[62,0]","[62,1]","[62,3]","[62,4]","[65,5]","[52,10]","[65,11]"
"[58,0]","[58,1]","[62,0]","[62,1]","[62,3]","[62,4]","[51,5]","[52,10]","[66,11]"
"[58,0]","[58,1]","[62,0]","[62,1]","[62,3]","[62,4]","[52,5]","[52,10]","[67,11]"
"[58,0]","[58,1]","[68,0]","[62,1]","[62,3]","[62,4]",,,
"[58,0]","[58,1]","[68,0]","[62,1]","[62,3]","[62,4]","[63,5]","[63,10]","[63,11]"
"[58,0]","[58,1]","[68,0]","[62,1]","[62,3]","[62,4]","[64,5]","[52,10]","[63,11]"
"[58,0]","[58,1]","[68,0]","[62,1]","[62,3]","[62,4]","[65,5]","[52,10]","[65,11]"
"[58,0]","[58,1]","[68,0]","[62,1]","[62,3]","[62,4]","[51,5]","[52,10]","[66,11]"
"[58,0]","[58,1]","[68,0]","[62,1]","[62,3]","[62,4]","[52,5]","[52,10]","[67,11]"
"[58,0]","[58,1]","[74,0]","[62,1]","[62,3]","[62,4]",,,
"[58,0]","[58,1]","[74,0]","[62,1]","[62,3]","[62,4]","[63,5]","[63,10]","[63,11]"
"[58,0]","[58,1]","[74,0]","[62,1]","[62,3]","[62,4]","[64,5]","[52,10]","[63,11]"
"[58,0]","[58,1]","[74,0]","[62,1]","[62,3]","[62,4]","[65,5]","[52,10]","[65,11]"
"[58,0]","[58,1]","[74,0]","[62,1]","[62,3]","[62,4]","[51,5]","[52,10]","[66,11]"
"[58,0]","[58,1]","[74,0]","[62,1]","[62,3]","[62,4]","[52,5]","[52,10]","[67,11]"
"[58,0]","[58,1]","[74,0]","[62,1]","[62,3]","[62,4]","[56,0]",,
"[58,0]","[58,1]","[74,0]","[62,1]","[62,3]","[62,4]","[55,5]",,
"[85,0]","[85,1]","[88,0]","[88,1]","[88,3]",,"[88,5]","[88,10]","[88,11]"
"[85,0]","[85,1]","[89,0]","[89,1]","[89,3]","[89,4]",,,
"[85,0]","[85,1]","[89,0]","[89,1]","[89,3]","[89,4]","[90,5]","[90,10]","[90,11]"
"[85,0]","[85,1]","[89,0]","[89,1]","[89,3]","[89,4]","[91,5]","[91,10]","[91,11]"
"[85,0]","[85,1]","[89,0]","[89,1]","[89,3]","[89,4]","[92,5]","[92,10]","[92,11]"
"[85,0]","[85,1]","[89,0]","[89,1]","[89,3]","[89,4]","[93,5]","[92,10]","[93,11]"
"[85,0]","[85,1]","[89,0]","[89,1]","[89,3]","[89,4]","[94,5]","[92,10]","[94,11]"
"[85,0]","[85,1]","[89,0]","[89,1]","[89,3]","[89,4]","[95,5]","[92,10]","[95,11]"
"[85,0]","[85,1]","[96,0]","[89,1]","[89,3]","[89,4]",,,
"[85,0]","[85,1]","[96,0]","[89,1]","[89,3]","[89,4]","[90,5]","[97,10]","[97,11]"
"[85,0]","[85,1]","[96,0]","[89,1]","[89,3]","[89,4]","[91,5]","[91,10]","[98,11]"
"[85,0]","[85,1]","[96,0]","[89,1]","[89,3]","[89,4]","[92,5]","[92,10]","[99,11]"
"[85,0]","[85,1]","[96,0]","[89,1]","[89,3]","[89,4]","[93,5]","[92,10]","[100,11]"
"[85,0]","[85,1]","[96,0]","[89,1]","[89,3]","[89,4]","[101,5]","[79,10]","[101,11]"
"[85,0]","[85,1]","[96,0]","[89,1]","[89,3]","[89,4]","[94,5]","[92,10]","[102,11]"
"[85,0]","[85,1]","[96,0]","[89,1]","[89,3]","[89,4]","[79,5]","[79,10]","[103,11]"
