EmployeeID,Employee Name,Period End Date,Pay Frequency,Location,Number of,Description,Hours,Amount
001POWED,Dominick Powers,6/12/1982,1W01 - Weekly,CARCOSA,1,,,
001POWED,Dominick Powers,,,,,Normal Hours,23,351.87
001POWED,Dominick Powers,,,,,Gross Taxable Total,0,351.87
001POWED,Dominick Powers,,,,,Tax (Incl Adjust),0,0
001POWED,Dominick Powers,,,,,Net Pay,0,351.87
001POWED,Dominick Powers,13/12/1982,1W01 - Weekly,CARCOSA,1,,,
001POWED,Dominick Powers,,,,,Normal Hours,46,703.74
001POWED,Dominick Powers,,,,,Gross Taxable Total,0,703.74
001POWED,Dominick Powers,,,,,Tax (Incl Adjust),0,-80
001POWED,Dominick Powers,,,,,Net Pay,0,623.74
001POWED,Dominick Powers,,,,,Superannuation,0,66.86
001POWED,Dominick Powers,20/12/1982,1W01 - Weekly,CARCOSA,1,,,
001POWED,Dominick Powers,,,,,Normal Hours,37.5,573.7
001POWED,Dominick Powers,,,,,Gross Taxable Total,0,573.7
001POWED,Dominick Powers,,,,,Tax (Incl Adjust),0,-53
001POWED,Dominick Powers,,,,,Net Pay,0,520.7
001POWED,Dominick Powers,,,,,Superannuation,0,54.5
002MORIC,Crystal Morin,16/04/1985,1W01 - Weekly,CARCOSA,2,,,
002MORIC,Crystal Morin,,,,,Normal Hours,46,1003.22
002MORIC,Crystal Morin,,,,,Gross Taxable Total,0,1003.22
002MORIC,Crystal Morin,,,,,Tax (Incl Adjust),0,-85
002MORIC,Crystal Morin,,,,,Net Pay,0,918.22
002MORIC,Crystal Morin,,,,,Superannuation,0,95.3
002MORIC,Crystal Morin,23/04/1985,1W01 - Weekly,CARCOSA,1,,,
002MORIC,Crystal Morin,,,,,Normal Hours,19.5,425.27
002MORIC,Crystal Morin,,,,,Gross Taxable Total,0,425.27
002MORIC,Crystal Morin,,,,,Tax (Incl Adjust),0,-14
002MORIC,Crystal Morin,,,,,Net Pay,0,411.27
002MORIC,Crystal Morin,,,,,Superannuation,0,40.4
002MORIC,Crystal Morin,30/04/1985,1W01 - Weekly,CARCOSA,1,,,
002MORIC,Crystal Morin,,,,,Normal Hours,30,654.27
002MORIC,Crystal Morin,,,,,Sat Casual Ldg,8.5,14.83
002MORIC,Crystal Morin,,,,,Gross Taxable Total,0,669.1
002MORIC,Crystal Morin,,,,,Tax (Incl Adjust),0,-73
002MORIC,Crystal Morin,,,,,Net Pay,0,596.1
002MORIC,Crystal Morin,,,,,Superannuation,0,63.56
003DALTE,Erma Dalton,5/07/1982,1W01 - Weekly,CARCOSA,1,,,
003DALTE,Erma Dalton,,,,,Normal Hours,40,792.31
003DALTE,Erma Dalton,,,,,Gross Taxable Total,0,792.31
003DALTE,Erma Dalton,,,,,Tax (Incl Adjust),0,-110
003DALTE,Erma Dalton,,,,,Net Pay,0,682.31
003DALTE,Erma Dalton,,,,,Superannuation,0,75.27
003DALTE,Erma Dalton,12/07/1982,1W01 - Weekly,CARCOSA,1,,,
003DALTE,Erma Dalton,,,,,Normal Hours,40,792.31
003DALTE,Erma Dalton,,,,,Gross Taxable Total,0,792.31
003DALTE,Erma Dalton,,,,,Tax (Incl Adjust),0,-110
003DALTE,Erma Dalton,,,,,Net Pay,0,682.31
003DALTE,Erma Dalton,,,,,Superannuation,0,75.27
003DALTE,Erma Dalton,19/07/1982,1W01 - Weekly,CARCOSA,1,,,
003DALTE,Erma Dalton,,,,,Normal Hours,40,792.31
003DALTE,Erma Dalton,,,,,Gross Taxable Total,0,792.31
003DALTE,Erma Dalton,,,,,Tax (Incl Adjust),0,-110
003DALTE,Erma Dalton,,,,,Net Pay,0,682.31
003DALTE,Erma Dalton,,,,,Superannuation,0,75.27
004NASHK,Kristy Nash,5/07/1982,1W01 - Weekly,CARCOSA,1,,,
004NASHK,Kristy Nash,,,,,Normal Hours,28.5,567.73
004NASHK,Kristy Nash,,,,,60% Sun Perm Ldg,7.5,89.64
004NASHK,Kristy Nash,,,,,Gross Taxable Total,0,657.37
004NASHK,Kristy Nash,,,,,Tax (Incl Adjust),0,-71
004NASHK,Kristy Nash,,,,,Net Pay,0,586.37
004NASHK,Kristy Nash,,,,,Superannuation,0,62.45
004NASHK,Kristy Nash,12/07/1982,1W01 - Weekly,CARCOSA,1,,,
004NASHK,Kristy Nash,,,,,Normal Hours,29,591.55
004NASHK,Kristy Nash,,,,,60% Sun Perm Ldg,7.5,91.79
004NASHK,Kristy Nash,,,,,Gross Taxable Total,0,683.34
004NASHK,Kristy Nash,,,,,Tax (Incl Adjust),0,-76
004NASHK,Kristy Nash,,,,,Reimburse expenses,0,50
